partner_name,url_slug,full_url,date_scraped,partner_website,portal_detected,portal_type,portal_url,owner_portal_type,owner_portal_url,detection_method,date_portal_detected
1 Realty Management,1rm,https://www.secondnature.com/property-management/1rm,2026-03-13,http://propertymanagementjacksonvillefl.com/,true,Propertyware,https://app.propertyware.com/pw/index.html#/login/tenant/1realtymanagementllc,,,tenant login (link),
1st Cavalry Homes,1st-cavalry,https://www.secondnature.com/property-management/1st-cavalry,2026-03-13,http://www.1stcavalryhomes.com/,true,Buildium,https://signin.managebuilding.com/Resident/portal/global-login,,,resident portal (link),
1st Class Property Management,1st-class,https://www.secondnature.com/property-management/1st-class,2026-03-13,http://1stclasspropertymgt.com/,true,Buildium,http://1stclasspropertymgt.com/,,,page source scan,
210 Realty Group LLC,210-realty,https://www.secondnature.com/property-management/210-realty,2026-03-13,http://www.210realtygroup.com/,true,AppFolio,http://www.210realtygroup.com/,,,page source scan,
302 East Ocean Front Management Inc,302-east-ocean-front,https://www.secondnature.com/property-management/302-east-ocean-front,2026-03-13,http://www.302eastoceanfront.com/,true,AppFolio,http://www.302eastoceanfront.com/,,,page source scan,
3G Properties Group,3g-properties,https://www.secondnature.com/property-management/3g-properties,2026-03-13,http://www.3gpropertiesgroup.com/,true,AppFolio,,,,,
4D Property Solutions,4D-property-solutions,https://www.secondnature.com/property-management/4D-property-solutions,2026-03-13,http://www.4dpropertysolutions.com/,false,Confirmed None,,,,exhaustive check — no portal found,
6024 Property Management,6024,https://www.secondnature.com/property-management/6024,2026-03-13,http://6024pm.com/,true,Rentvine,,,,,
A Step Ahead Management,a-step-ahead,https://www.secondnature.com/property-management/a-step-ahead,2026-03-13,http://www.astephome.com/,true,Rentvine,,,,,
AA Oceanfront Rentals and Sales,aa-oceanfront,https://www.secondnature.com/property-management/aa-oceanfront,2026-03-13,http://www.aaoceanfront.com/,true,AppFolio,https://aaoceanfront.appfolio.com/connect,,,owner’s login (link),
AA Oceanfront Rentals and Sales - Kona,aa-oceanfront-kona,https://www.secondnature.com/property-management/aa-oceanfront-kona,2026-03-13,http://www.aaoceanfront.com/,true,AppFolio,https://aaoceanfront.appfolio.com/connect,,,owner’s login (link),
AA Oceanfront Rentals and Sales - Maui,aa-oceanfront-maui,https://www.secondnature.com/property-management/aa-oceanfront-maui,2026-03-13,http://www.aaoceanfront.com/,true,AppFolio,https://aaoceanfront.appfolio.com/connect,,,owner’s login (link),
AA Oceanfront Rentals and Sales - Oahu,aa-oceanfront-oahu,https://www.secondnature.com/property-management/aa-oceanfront-oahu,2026-03-13,http://www.aaoceanfront.com/,true,AppFolio,https://aaoceanfront.appfolio.com/connect,,,owner’s login (link),
ABC Property Management,abc,https://www.secondnature.com/property-management/abc,2026-03-13,http://abc-manager.com/,true,Rentvine,,,,,
Above All Property Management,above-all,https://www.secondnature.com/property-management/above-all,2026-03-13,http://www.aboveallpm.com/,true,Rentvine,,,,,
Action Properties,action,https://www.secondnature.com/property-management/action,2026-03-13,http://actionproperties.net/,true,AppFolio,,,,,
Aggieland Houses,aggieland-houses,https://www.secondnature.com/property-management/aggieland-houses,2026-03-13,http://aggielandhouses.com/,true,Rent Manager,http://aggielandhouses.com/,,,page source scan,
A&L Management Services LLC,al-mgmt-nj,https://www.secondnature.com/property-management/al-mgmt-nj,2026-03-13,http://almanagementnj.com/,true,AppFolio,,,,,
All Asset Property Management,all-asset,https://www.secondnature.com/property-management/all-asset,2026-03-13,http://www.allassetpropertymanagement.com/,true,AppFolio,https://passport.appf.io/sign_in?idp_type=tportal&vhostless=true,,,pay rent (link) via page-source,
All Brevard Property Management,all-brevard,https://www.secondnature.com/property-management/all-brevard,2026-03-13,http://allbrevardpropertymanagement.com/,true,AppFolio,https://passport.appf.io/sign_in?idp_type=tportal&vhostless=true,,,make a payment (link) via page-source,
All County Advance Property Management,all-country-advance,https://www.secondnature.com/property-management/all-country-advance,2026-03-13,http://allcountyadvance.com/,true,Rent Manager,https://www.allcountyprop.com/locations/florida/clearwater/residents/,Rent Manager,https://www.allcountyprop.com/locations/florida/clearwater/owners/,residents (link) (content match),2026-04-20
All County - Property Management Pros,all-county,https://www.secondnature.com/property-management/all-county,2026-03-13,http://www.allcountyprop.com/locations/florida/sarasota/,true,Rent Manager,https://www.allcountyprop.com/locations/florida/sarasota/residents/,Rent Manager,https://www.allcountyprop.com/locations/florida/sarasota/owners/,residents (link) (content match),2026-04-20
All County - First Choice,all-county-first-choice,https://www.secondnature.com/property-management/all-county-first-choice,2026-03-13,http://www.allcountyprop.com/locations/florida/pinellas-park/,true,Rent Manager,https://www.allcountyprop.com/locations/florida/pinellas-park/residents/,Rent Manager,https://www.allcountyprop.com/locations/florida/pinellas-park/owners/,residents (link) (content match),2026-04-20
All County Property Management Specialists,all-county-specialists,https://www.secondnature.com/property-management/all-county-specialists,2026-03-13,http://allcountyspecialists.com/,true,Rent Manager,https://www.allcountyprop.com/locations/south-carolina/columbia/residents/,Rent Manager,https://www.allcountyprop.com/locations/south-carolina/columbia/owners/,residents (link) (content match),2026-04-20
All Star Realty,all-star-realty,https://www.secondnature.com/property-management/all-star-realty,2026-03-13,http://allstarrealtyinc.com/,true,AppFolio,https://account.appfolio.com/realms/foliospace/protocol/openid-connect/auth?activation_state&client_id=client-9997cbe0-c863-49ab-8f39-c87da770c079&portfolio_uuid&redirect_uri=https%3A%2F%2Fallstarrealty.appfolio.com%2Fconnect%2Fusers%2Foauth%2Fcallback&response_type=code&scope=openid+offline_access&session_timed_out=false&state,,,tenant login (link),
All County Diamond Property Management,allcountydiamond,https://www.secondnature.com/property-management/allcountydiamond,2026-03-13,http://www.allcountydiamond.com/,true,Rent Manager,https://www.allcountyprop.com/locations/florida/panama-city-beach/residents/,Rent Manager,https://www.allcountyprop.com/locations/florida/panama-city-beach/owners/,residents (link) (content match),2026-04-20
Allegiance Property Management,allegiance,https://www.secondnature.com/property-management/allegiance,2026-03-13,http://www.allegiancepm.com/,true,Rentvine,,,,,
Allegiant Management Group,allegiant-mg-rents,https://www.secondnature.com/property-management/allegiant-mg-rents,2026-03-13,http://www.amgrents.com/,true,AppFolio,,,,,
Alliance Property Management,alliance,https://www.secondnature.com/property-management/alliance,2026-03-13,http://www.alliancecolorado.com/,true,Buildium,https://alliancepropertymanagementinc.managebuilding.com/Resident/portal/login,,,tenant login (link),
Allred Properties Inc,allred,https://www.secondnature.com/property-management/allred,2026-03-13,http://www.allredproperties.com/,true,AppFolio,,,,,
Alpha Capital Management,alpha-capital,https://www.secondnature.com/property-management/alpha-capital,2026-03-13,http://alphacapitalfunds.com/,true,AppFolio,,,,,
Alta Property Management Services,alta,https://www.secondnature.com/property-management/alta,2026-03-13,http://altapms.com/,true,Rentvine,,,,,
American Valor Realty,american-valor,https://www.secondnature.com/property-management/american-valor,2026-03-13,http://www.americanvalorrealty.com/,true,Likely: americanvalorrealty.com,https://www.americanvalorrealty.com/#,,,sign in — unidentified portal,
American West Realty and Management,american-west-realty,https://www.secondnature.com/property-management/american-west-realty,2026-03-13,http://www.americanwestrealty.com/,true,Propertyware,https://app.propertyware.com/pw/index.html#/login/tenant/americanwestrealty,Propertyware,https://app.propertyware.com/pw/index.html#/login/owner/americanwestrealty,login (link),
Americas Rental Managers,americas-rental-managers,https://www.secondnature.com/property-management/americas-rental-managers,2026-03-13,http://www.armrents.com/,true,AppFolio,,,,,
AMP Capital City Group,amp-capital-city,https://www.secondnature.com/property-management/amp-capital-city,2026-03-13,http://www.ampcapitalcitygroup.realestate/,true,AppFolio,http://www.ampcapitalcitygroup.realestate/,,,page source scan,
Ampersand Property Management,ampersand,https://www.secondnature.com/property-management/ampersand,2026-03-13,http://ampersandmanage.com/,true,AppFolio,https://ampersandpm.appfolio.com/oportal/users/log_in,,,login - owners (link),
Angie Toomey Real Estate Group,angie-toomey,https://www.secondnature.com/property-management/angie-toomey,2026-03-13,http://www.angietoomey.com/,true,Rentvine,,,,,
Ann Milton Realty,ann-milton,https://www.secondnature.com/property-management/ann-milton,2026-03-13,http://www.annmilton.com/,false,Confirmed None,,,,exhaustive check — no portal found,
"Apex Property Management, LLC",apex,https://www.secondnature.com/property-management/apex,2026-03-13,http://www.apexidaho.com/,true,AppFolio,https://www.apexidaho.com/prospective-owners,AppFolio,https://apexpropertymanagement.appfolio.com/connect/users/sign_in,direct path /owners (source),
Arkansas Homes And Rentals,ar-homes-rentals,https://www.secondnature.com/property-management/ar-homes-rentals,2026-03-13,http://arhomesandrentals.com/,true,AppFolio,,,,,
Arizona Property Brokerage,arizona-property-brokerage,https://www.secondnature.com/property-management/arizona-property-brokerage,2026-03-13,http://www.azpropertybrokerage.com/,true,AppFolio,https://azpropertybrokerage.appfolio.com/connect/users/sign_in,AppFolio,https://azpropertybrokerage.appfolio.com/connect/users/sign_in,tenant portal faq (link),
Arrow Property Management,arrow,https://www.secondnature.com/property-management/arrow,2026-03-13,http://arrowmidwest.com/,true,AppFolio,http://arrowlincoln.appfolio.com/connect,,,tenants resources (link),
ASIR PM,asir,https://www.secondnature.com/property-management/asir,2026-03-13,http://www.asirpm.com/,true,AppFolio,,,,,
Association and Real Property Advisors,assoc-and-rpa,https://www.secondnature.com/property-management/assoc-and-rpa,2026-03-13,http://www.proarpa.com/,true,AppFolio,,,,,
Athens Property Management,athens,https://www.secondnature.com/property-management/athens,2026-03-13,http://athenspm.com/,true,AppFolio,,,,,
Atkins Homes,atkins-homes,https://www.secondnature.com/property-management/atkins-homes,2026-03-13,http://atkinshomesllc.com/,false,Confirmed None,,,,exhaustive check — no portal found,
Atlas Real Estate Group,atlas-reg,https://www.secondnature.com/property-management/atlas-reg,2026-03-13,http://realatlas.com/,true,AppFolio,,,,,
Augusta Partners Property Management,augusta-partners,https://www.secondnature.com/property-management/augusta-partners,2026-03-13,http://www.augustapropertymanagement.com/,true,AppFolio,http://www.augustapropertymanagement.com/,,,page source scan,
Augusta Rental Homes,augustal-rental-homes,https://www.secondnature.com/property-management/augustal-rental-homes,2026-03-13,http://www.augustarentalhomes.net/,true,Buildium,https://augustarentalhomes2.managebuilding.com/Resident/portal,,,login (link),
PMI Austin Metro,austinmetro,https://www.secondnature.com/property-management/austinmetro,2026-03-13,http://www.austincommunitymanagement.com/,true,Rentvine,,,,,
Austin's Best Property Management,austins-best,https://www.secondnature.com/property-management/austins-best,2026-03-13,http://austinsbestpm.com/,true,Buildium,https://banksearl.managebuilding.com/Resident/portal/loginhttps://banksearl.managebuilding.com/resident/public/authentication/login,,,tenant login (link),
Authority Property Management,authority,https://www.secondnature.com/property-management/authority,2026-03-13,http://www.authoritypm.com/,true,AppFolio,https://www.authoritypm.com/tenant-portal,AppFolio,https://www.authoritypm.com/owner-portal,tenant portal (link) via page-source,
